id,trigger,conditions,script,text,options,notes
"#RULESET_NAME TakeNoPrisoners",,,,,,
TNP_PickAndOpenPrisonerDialog,OpenInteractionDialog,"$coff_isprisoner score:10000
!$coff_dialogpicked","$coff_dialogpicked = true
TNP_CalcBribePrice
TNP_CalcRansomPrice
FireBest PickPrisonerDialog
FireBest StartPrisonerDialog",,,"Pick best prisoner dialog and run it."
TNP_OpenPrisonerDialog,OpenInteractionDialog,"$coff_isprisoner score:10000
$coff_dialogpicked","FireBest StartPrisonerDialog",,,
TNP_HireActivePerson,TNP_HireActivePerson,,"TNP_HireActivePerson",,,"Hires the active person as an officer. Calls the trigger TNP_HiredPrisoner"
TNP_RemoveActivePerson,TNP_RemoveActivePerson,,"TNP_RemoveActivePerson",,,"Removes the active person from the ""prison""."
TNP_HireAndRemoveActivePerson,TNP_HireAndRemoveActivePerson,,"TNP_HireAndRemoveActivePerson",,,"Hires the active person as an officer, and removes them from the ""prison"". Calls the trigger TNP_HiredPrisoner"
TNP_ExecuteActivePerson,TNP_ExecuteActivePerson,,"TNP_ExecuteActivePerson",,,"Removes the active person from the ""prison"". Calls the trigger TNP_ExecutedPrisoner."
TNP_ReleaseActivePerson,TNP_ReleaseActivePerson,,"TNP_ReleaseActivePerson",,,"Removes the active person from the ""prison"". Calls the trigger TNP_ReleasedPrisoner"
,,,,,,
# Any Faction Prisoner Dialogs,,,,,,
,,,,,,
# Prisoner 1,,,,,,
PickPrisonerDialogDefault1,PickPrisonerDialog,,"$coff_dialogtrigger = Default1
$coff_allowedactions = ""talk,bribe,release,ransom,execute""",,,"Default dialog for any prisoner."
OpenPrisonerDialogDefault1,StartPrisonerDialog,"$coff_dialogtrigger == Default1 score:100","TNP_CalcBribePrice
FireAll PopulatePrisonerOptions_Default1","
""You'll never get anything from me."" It's clear that $heOrShe is not going to cooperate without a fight. Or a bribe.

OR

""You have the audacity to look me in the eyes after that clown show?"" $HeOrShe is clearly still sore about the defeat.

OR

""It figures I'd be lucky enough to look my future killer in the eyes."" $HeOrShe looks up at you, defeat in $hisOrHer eyes.",,"Default dialog."
Default1PrisonerBribeOptionCanAfford,PopulatePrisonerOptions_Default1,"$coff_dialogtrigger == Default1
$player.credits >= $coff_bribeprice",,,"Default1PrisonerBribe:Offer to hire $himOrHer for $coff_bribeprice_text.",
Default1PrisonerBribeOptionCannotAfford,PopulatePrisonerOptions_Default1,"$coff_dialogtrigger == Default1
$player.credits < $coff_bribeprice","SetTooltip Default1PrisonerBribe ""Insufficient amount of credits.""
SetEnabled Default1PrisonerBribe false",,"Default1PrisonerBribe:Offer to hire $himOrHer for $coff_bribeprice_text.",
Default1PrisonerReleaseOption,PopulatePrisonerOptions_Default1,,,,"Default1PrisonerRelease:Release $himOrHer.",
Default1PrisonerRansomOption,PopulatePrisonerOptions_Default1,"TNP_CloseToAnyFactionMarket
$coff_ransomable",,,"Default1PrisonerRansom:Ransom $himOrHer for $coff_ransomprice_text.",
Default1PrisonerExecuteOption,PopulatePrisonerOptions_Default1,,,,"Default1PrisonerExecute:Execute $himOrHer.",
Default1PrisonerLeaveOption,PopulatePrisonerOptions_Default1,,,,"defaultLeave:Leave",
Default1PrisonerBribe,DialogOptionSelected,"$option == Default1PrisonerBribe","AddRemoveCommodity credits -$coff_bribeprice true
FireBest TNP_HireActivePerson","A simple flick of your Tri-Pad is all it takes to pay the price requested by the prisoner. Your security officer releases the newly annointed officer from the brig, ready to begin piloting again.","defaultLeave:Good.",
Default1PrisonerRelease,DialogOptionSelected,"$option == Default1PrisonerRelease","FireBest TNP_RemoveActivePerson","The prisoner almost looks smug as $heOrShe is escorted to the shuttle.

""Be seeing you again soon, $player.name. Real soon.""","defaultLeave:Leave.",
Default1PrisonerExecute,DialogOptionSelected,"$option == Default1PrisonerExecute","FireBest TNP_ExecuteActivePerson","The prisoner is terrified for a brief moment, but that moment is all it takes for the life to leave $hisOrHer eyes.","defaultLeave:Leave.",
Default1PrisonerRansom,DialogOptionSelected,"$option == Default1PrisonerRansom","FireBest TNP_RemoveActivePerson
AddRemoveCommodity credits $coff_ransomprice true","The prisoner is escorted to the shuttle. As it leaves weapons range of your fleet, you hear a ping notifying you of your ransom pay.","defaultLeave:Good.",
Default1PrisonerExecuted,TNP_ExecutedPrisoner,"$coff_dialogtrigger == Default1", "AdjustRep $personFaction.id VENGEFUL -8",,,
"#END Prisoner 1",,,,,,
"#END Any Faction",,,,,,
,,,,,,
# Luddic Path,,,,,,
,,,,,,
# Pious,,,,,,
PickPrisonerDialogLuddicPathFanatical1,PickPrisonerDialog,"$personFaction.id == luddic_path","$coff_dialogtrigger = PatherFanatical1
$coff_allowedactions = ""talk,release,ransom,execute""",,,"Pious dialog for a Pather."
LuddicPath1OpenPrisonerDialog,StartPrisonerDialog,"$coff_dialogtrigger == PatherFanatical1 score:100","FireAll PopulatePrisonerOptions_PatherFanatical1","""Begone, follower of Moloch, or Ludd strike thee!""
The Pather spits out this defense, as if to protect $himOrHer in this prison of $hisOrHer nightmares.",,
PatherFanatical1PrisonerHireOption,PopulatePrisonerOptions_PatherFanatical1,,,,"PatherFanatical1OfferHire:Offer to hire $himOrHer.",
PatherFanatical1PrisonerReleaseOption,PopulatePrisonerOptions_PatherFanatical1,,,,"PatherFanatical1Release:Release $himOrHer.",
PatherFanatical1PrisonerExecuteOption,PopulatePrisonerOptions_PatherFanatical1,,,,"PatherFanatical1Execute:Execute $himOrHer.",
PatherFanatical1PrisonerLeaveOption,PopulatePrisonerOptions_PatherFanatical1,,,,"defaultLeave:Leave",
PatherFanatical1PrisonerOfferHire,DialogOptionSelected,"$option == PatherFanatical1OfferHire","
SetStoryOption PatherFanatical1Bluff 1 bluffLuddicPrisoner ui_char_spent_story_point ""Convinced a Pather to join you.""","""Why would I ever even consider joining a heretic like yourself?""
You briefly consider this thought. It's not like other similarly skilled officers don't exist elsewhere in the sector.. and at that, with a more compatible background.","1:PatherFanatical1Bluff:<Lie> Convince $himOrHer to join you on your ""noble mission"".
10:PatherFanatical1NoBluff:Gently rescind the offer.",
PatherFanatical1PrisonerNoBluff,DialogOptionSelected,"$option == PatherFanatical1NoBluff","FireAll PopulatePrisonerOptions_PatherFanatical1",,,
PatherFanatical1PrisonerBluff,DialogOptionSelected,"$option == PatherFanatical1Bluff","
FireBest TNP_HireActivePerson","You appear, to the Pather at least, to mutter the words ""Ludd help me"" under your breath. Your security officer notices this but doesn't make the bluff obvious. The Pather is visibly taken suddenly, and this is when you know you have $himOrHer.

You apologize for invoking His great name, and explain to $himOrHer that your mission is given by a secret group within the Luddic Path, responsible for investigating and destroying heretics that have infiltrated it, and $hisOrHer fleet was harboring one or more of those traitorous scoundrels.

You further explain that being in this very position in your prison to hear these words is evidence that Ludd calls upon $himOrHer to join you on your noble mission.

The Pather nearly jumps at the opportunity. You leave the prison satisfied, overhearing your security officer make it clear to $himOrHer that $heOrShe cannot let anyone else know of the mission, lest a heretic learn of the secret.","10:defaultLeave:Leave",
PatherFanatical1PrisonerRelease,DialogOptionSelected,"$option == PatherFanatical1Release","FireBest TNP_ReleaseActivePerson","The prisoner shoots you one last rapturous look as $heOrShe is about to enter the shuttle.

""Ludd's Light be upon ye, heretic.""","defaultLeave:Leave.",
PatherFanatical1PrisonerExecute,DialogOptionSelected,"$option == PatherFanatical1Execute","FireBest TNP_ExecuteActivePerson","The prisoner seems aware of the fate that befalls him, and doesn't let you see the light leave $hisOrHer eyes.","defaultLeave:Leave.",
PatherFanatical1PrisonerExecuted,TNP_ExecutedPrisoner,"$coff_dialogtrigger == PatherFanatical1", "AdjustRep $personFaction.id VENGEFUL -8",,,
"#END Pious",,,,,,
"#END Luddic Path",,,,,,
,,,,,,
# Pirates,,,,,,
,,,,,,
# Apologetic,,,,,,
PickPrisonerDialogPirateApologetic1,PickPrisonerDialog,"$personFaction.id == pirates
TNP_RandomChance 10","$coff_dialogtrigger = PirateApologetic1
$coff_allowedactions = ""talk,release,ransom,execute""",,,"Apologetic dialog for pirate. 5% chance."
